codneg,iq,tipo,adm,urendrs,urendpercent,urenddatapag,urenddatabase,rendmed12rs,rendmed12percent,ppc,cvp,nnegmed,ifix,ncotistas,patrimonio
PORD11,Investidor Qualificado,Papel: CRIs,Oliveira Trust,0.61,0.59,2020-03-06,2020-02-28,4.9,4.79,104.41000000000001,0.98,9624,0.37,2473,104405924.73
PQDP11,Geral,Tijolo: Shoppings,BTG Pactual,19.49,0.58,2020-03-20,2020-02-28,14.66,0.44,3385.17,0.99,533,1.09,4449,807285449.8399999
PRSN11B,Investidor Qualificado,Tijolo: Desenvolvimento,Oliveira Trust,0.01,0.37,2020-01-15,2020-01-08,0,0.04,0.49,4.56,3733,0,912,25492187.75
PRSV11,Geral,Tijolo: Escritórios,BEM DTVM,2.2,0.53,2020-03-20,2020-03-11,2.05,0.49,394.94,1.05,114,0,1371,77013988.56
PRTS11,Investidor Qualificado,Tijolo: Shoppings,Banco Modal S.A.,0,NA,NA,NA,0,NA,0.23,0,0,0,11,12765496.9
QAGR11,Geral,Indefinido,BTG Pactual,0.09,0.1,2020-03-13,2020-03-06,0.04,0.04,95.91000000000001,1.02,33807,0,13981,483370586.69
RBBV11,Geral,Tijolo: Desenvolvimento,Caixa Econômica Federal,0.28,0.31,2020-03-11,2020-03-02,0.43000000000000005,0.47000000000000003,100.19,0.9,885,0.16,3112,125660614.57
RBCB11,Investidor Qualificado,Papel: CRIs,Rio Bravo Investimentos,0.3,0.18,2019-06-10,2019-05-31,0.43000000000000005,0.25,0.75,226.6,248,0,460,40071.39
RBCO11,Geral,Tijolo: Escritórios,BRL Trust DTVM,0.88,0.8500000000000001,2020-03-13,2020-02-28,0.3,0.29000000000000004,111,0.9400000000000001,700,0,1094,86471045.94000001
RBDS11,Investidor Qualificado,Tijolo: Desenvolvimento,Oliveira Trust,1.84,2.65,2019-12-10,2019-11-29,1.92,2.75,42.59,1.6300000000000001,551,0,1057,5388017.17
RBED11,Geral,Tijolo: Educacional,Rio Bravo Investimentos,1,0.5700000000000001,2020-03-13,2020-02-28,1.03,0.59,149.70999999999998,1.1700000000000002,4354,0.53,7945,267570052.82000002
RBFF11,Geral,Papel: Fundo de Fundos,BRL Trust DTVM,0.65,0.71,2020-03-13,2020-02-28,0.72,0.7899999999999999,84.92,1.07,3254,0,4254,107601148.63
RBGS11,Geral,Tijolo: Shoppings,Oliveira Trust,0.53,0.8700000000000001,2020-03-13,2020-02-28,0.26,0.42000000000000004,86.13,0.71,1503,0,2984,92851179.5
RBIV11,Geral,Papel: CRIs,BRL Trust DTVM,0.29000000000000004,0.29000000000000004,2020-03-13,2020-02-28,0.05,0.05,96.41000000000001,1.01,863,0,2376,98758919.86999999
